2026-02-14T14:00:00,Areeiro,768,PSD,777,PS,787,IL,218,L,157,CH,308,PAN
2026-02-14T15:00:00,Areeiro,816,PSD,811,PS,812,IL,227,L,160,CH,324,PAN
2026-02-14T16:00:00,Areeiro,868,PSD,863,PS,854,IL,234,L,172,CH,341,PAN
2026-02-14T17:00:00,Areeiro,958,PSD,924,PS,895,IL,249,L,183,CH,363,PAN
2026-02-14T18:00:00,Areeiro,1032,PSD,986,PS,931,IL,266,L,198,CH,389,PAN
2026-02-14T19:00:00,Areeiro,1093,PSD,1037,PS,980,IL,283,L,209,CH,412,PAN
2026-02-14T20:00:00,Areeiro,1127,PSD,1078,PS,1014,IL,298,L,217,CH,431,PAN
2026-02-14T21:00:00,Areeiro,1152,PSD,1102,PS,1036,IL,301,L,220,CH,438,PAN
2026-02-14T22:00:00,Areeiro,1197,PSD,1129,PS,1088,IL,314,L,229,CH,454,PAN
2026-02-14T23:00:00,Areeiro,1230,PSD,1179,PS,1138,IL,326,L,239,CH,475,PAN
2026-02-15T00:00:00,Areeiro,1320,PSD,1249,PS,1245,IL,351,L,252,CH,507,PAN
2026-02-15T01:00:00,Areeiro,1384,PSD,1343,PS,1358,IL,374,L,270,CH,535,PAN
2026-02-15T02:00:00,Areeiro,1441,PSD,1414,PS,1447,IL,390,L,280,CH,565,PAN
2026-02-15T03:00:00,Areeiro,1463,PSD,1459,PS,1525,IL,405,L,289,CH,585,PAN
2026-02-15T04:00:00,Areeiro,1496,PSD,1504,PS,1573,IL,417,L,299,CH,593,PAN
2026-02-15T05:00:00,Areeiro,1526,PSD,1517,PS,1573,IL,427,L,301,CH,605,PAN
2026-02-15T06:00:00,Areeiro,1534,PSD,1546,PS,1611,IL,430,L,308,CH,607,PAN
2026-02-15T07:00:00,Areeiro,1544,PSD,1548,PS,1611,IL,430,L,308,CH,622,PAN
2026-02-15T08:00:00,Areeiro,1544,PSD,1555,PS,1611,IL,431,L,312,CH,622,PAN
2026-02-15T09:00:00,Areeiro,1547,PSD,1565,PS,1611,IL,436,L,312,CH,622,PAN
2026-02-15T10:00:00,Areeiro,1559,PSD,1575,PS,1622,IL,441,L,316,CH,622,PAN
2026-02-15T11:00:00,Areeiro,1563,PSD,1575,PS,1622,IL,441,L,316,CH,631,PAN
2026-02-15T12:00:00,Areeiro,1588,PSD,1585,PS,1628,IL,445,L,320,CH,637,PAN
2026-02-15T13:00:00,Areeiro,1602,PSD,1607,PS,1653,IL,451,L,320,CH,642,PAN
2026-02-15T14:00:00,Areeiro,1618,PSD,1622,PS,1664,IL,451,L,327,CH,654,PAN
2026-02-15T15:00:00,Areeiro,1664,PSD,1653,PS,1708,IL,461,L,334,CH,658,PAN
